PR URL,PR Title,PR createdAt,PR mergedAt,stars,fork,language
https://github.com/bauti-defi/claude-collab/pull/1,feat: web chat UI + remote MCP for claude.ai,2026-03-14T19:44:43Z,2026-03-14T19:44:50Z,4,False,Go
https://github.com/yuto2245/swell_child/pull/11,AIチャットページの実装（Claude.ai風UI + 4プロバイダーSSE対応）,2026-03-28T12:29:08Z,2026-03-28T12:41:59Z,0,False,CSS
https://github.com/Brake-Labs/porchsongs/pull/199,fix: replace single-line chat input with auto-growing textarea,2026-03-28T22:52:14Z,2026-03-28T22:55:47Z,2,False,TypeScript
https://github.com/gbfans/discourse-component/pull/20,fix: reset header overrides for full-page chat mode,2026-03-29T22:08:56Z,2026-03-29T22:09:01Z,0,False,SCSS
https://github.com/cabgcu/vendoradmin/pull/77,Fix OpenRouter API requests: remove broken fallback URL and update model,2026-03-28T22:52:47Z,2026-03-28T22:52:52Z,0,False,HTML
https://github.com/Senior3514/rentelx-080ee8e3/pull/173,Route ALL AI calls through ai-chat (proven working with Gemini),2026-03-30T09:45:10Z,2026-03-30T09:45:30Z,0,False,TypeScript
https://github.com/Maurice-AIEMPIRE/core/pull/5,fix(telegram-bot): correct Ollama API base URL to include /v1 path,2026-03-29T09:46:10Z,2026-03-29T09:46:21Z,1,True,TypeScript
https://github.com/Ramsdale00/LubeOilSim/pull/15,fix: use prompt field for Ollama generate format (fixes HTTP 422),2026-03-30T10:43:17Z,2026-03-30T10:43:24Z,0,False,TypeScript
https://github.com/VilDeMil/handschelle/pull/188,Show LLM parameters panel by default and support hs_name URL paramete…,2026-03-29T04:07:28Z,2026-03-29T04:07:37Z,0,False,PHP
https://github.com/lightproud/brain-in-a-vat/pull/69,feat: add channel_index.json to Discord archiver,2026-03-29T12:15:41Z,2026-03-29T12:15:49Z,0,False,Python
https://github.com/alexavonc/MeetingMind/pull/21,Add multi-user Telegram bot linking,2026-03-30T10:05:39Z,2026-03-30T10:05:47Z,0,False,TypeScript
https://github.com/levensti/artifact/pull/16,refactor: split chat-panel and chat route into modular components,2026-03-29T17:16:11Z,2026-03-29T17:58:49Z,4,False,TypeScript
https://github.com/albinotonnina/echos/pull/198,feat: split web chat routes into separate modules (task 9.05),2026-03-29T22:09:05Z,2026-03-29T22:30:27Z,36,False,TypeScript
https://github.com/rbatsenko/beta-rocks/pull/37,refactor: remove all remaining chat references from codebase,2026-03-28T12:26:51Z,2026-03-28T12:47:03Z,0,False,TypeScript
https://github.com/knifflig/next-prop-manager/pull/1,Move initial chat to src/content/docs and extract final decisions,2026-03-28T20:52:33Z,2026-03-28T20:52:46Z,1,False,MDX
https://github.com/shanimosco47-pixel/hey-usa/pull/38,feat: make Moti floating button draggable,2026-03-28T11:03:15Z,2026-03-28T11:03:23Z,0,False,TypeScript
